drug,reaction,atom_idx,element,effect,baseline_score
canagliflozin,Lactic acidosis,27,C,0.0038475990295410156,0.8642129898071289
canagliflozin,Lactic acidosis,28,C,6.818771362304688e-05,0.8642129898071289
canagliflozin,Lactic acidosis,29,C,0.001409769058227539,0.8642129898071289
canagliflozin,Lactic acidosis,30,F,0.00035309791564941406,0.8642129898071289
canagliflozin,Nausea,0,C,-0.005884528160095215,0.9143417477607727
canagliflozin,Nausea,1,C,-0.0010671019554138184,0.9143417477607727
canagliflozin,Nausea,2,C,-0.00666886568069458,0.9143417477607727
canagliflozin,Nausea,3,C,0.0075144171714782715,0.9143417477607727
canagliflozin,Nausea,4,C,0.0003146529197692871,0.9143417477607727
canagliflozin,Nausea,5,C,0.0009344816207885742,0.9143417477607727
canagliflozin,Nausea,6,C,0.0008734464645385742,0.9143417477607727
canagliflozin,Nausea,7,C,0.00046950578689575195,0.9143417477607727
canagliflozin,Nausea,8,C,-0.0007424354553222656,0.9143417477607727
canagliflozin,Nausea,9,C,-0.0011810660362243652,0.9143417477607727
canagliflozin,Nausea,10,C,-0.0022686123847961426,0.9143417477607727
canagliflozin,Nausea,11,C,-0.002382218837738037,0.9143417477607727
canagliflozin,Nausea,12,O,0.005650162696838379,0.9143417477607727
canagliflozin,Nausea,13,C,-0.0014314651489257812,0.9143417477607727
canagliflozin,Nausea,14,O,0.002210855484008789,0.9143417477607727
canagliflozin,Nausea,15,O,0.003366529941558838,0.9143417477607727
canagliflozin,Nausea,16,O,0.003967106342315674,0.9143417477607727
canagliflozin,Nausea,17,O,0.00480276346206665,0.9143417477607727
canagliflozin,Nausea,18,C,-0.004103124141693115,0.9143417477607727
canagliflozin,Nausea,19,C,-0.005840301513671875,0.9143417477607727
canagliflozin,Nausea,20,C,0.008234083652496338,0.9143417477607727
canagliflozin,Nausea,21,C,0.007066309452056885,0.9143417477607727
canagliflozin,Nausea,22,C,0.0023685097694396973,0.9143417477607727
canagliflozin,Nausea,23,S,-0.006412684917449951,0.9143417477607727
canagliflozin,Nausea,24,C,0.002857804298400879,0.9143417477607727
canagliflozin,Nausea,25,C,0.001066744327545166,0.9143417477607727
canagliflozin,Nausea,26,C,0.00012040138244628906,0.9143417477607727
canagliflozin,Nausea,27,C,0.001660466194152832,0.9143417477607727
canagliflozin,Nausea,28,C,0.00012040138244628906,0.9143417477607727
canagliflozin,Nausea,29,C,0.001066744327545166,0.9143417477607727
canagliflozin,Nausea,30,F,0.00018703937530517578,0.9143417477607727
canagliflozin,Urinary tract infection,0,C,-0.05440175533294678,0.6347365975379944
canagliflozin,Urinary tract infection,1,C,0.010634183883666992,0.6347365975379944
canagliflozin,Urinary tract infection,2,C,0.0019369721412658691,0.6347365975379944
canagliflozin,Urinary tract infection,3,C,0.0010221004486083984,0.6347365975379944
canagliflozin,Urinary tract infection,4,C,0.003851592540740967,0.6347365975379944
canagliflozin,Urinary tract infection,5,C,0.00026935338973999023,0.6347365975379944
canagliflozin,Urinary tract infection,6,C,0.0065010786056518555,0.6347365975379944
canagliflozin,Urinary tract infection,7,C,0.0008358955383300781,0.6347365975379944
canagliflozin,Urinary tract infection,8,C,0.00016814470291137695,0.6347365975379944
canagliflozin,Urinary tract infection,9,C,-0.0004016757011413574,0.6347365975379944
canagliflozin,Urinary tract infection,10,C,0.00209730863571167,0.6347365975379944
canagliflozin,Urinary tract infection,11,C,0.0011554360389709473,0.6347365975379944
canagliflozin,Urinary tract infection,12,O,0.007606089115142822,0.6347365975379944
canagliflozin,Urinary tract infection,13,C,-0.0016831755638122559,0.6347365975379944
canagliflozin,Urinary tract infection,14,O,0.010067403316497803,0.6347365975379944
canagliflozin,Urinary tract infection,15,O,-0.0027677416801452637,0.6347365975379944
canagliflozin,Urinary tract infection,16,O,-0.0022864937782287598,0.6347365975379944
canagliflozin,Urinary tract infection,17,O,0.0015326142311096191,0.6347365975379944
canagliflozin,Urinary tract infection,18,C,-0.0008131861686706543,0.6347365975379944
canagliflozin,Urinary tract infection,19,C,0.001836240291595459,0.6347365975379944
canagliflozin,Urinary tract infection,20,C,0.0015162825584411621,0.6347365975379944
canagliflozin,Urinary tract infection,21,C,0.0014937520027160645,0.6347365975379944
canagliflozin,Urinary tract infection,22,C,0.006472945213317871,0.6347365975379944
canagliflozin,Urinary tract infection,23,S,-0.0031037330627441406,0.6347365975379944
canagliflozin,Urinary tract infection,24,C,0.00880277156829834,0.6347365975379944
canagliflozin,Urinary tract infection,25,C,0.0015375018119812012,0.6347365975379944
canagliflozin,Urinary tract infection,26,C,0.000906825065612793,0.6347365975379944
canagliflozin,Urinary tract infection,27,C,0.008536040782928467,0.6347365975379944
canagliflozin,Urinary tract infection,28,C,0.000906825065612793,0.6347365975379944
canagliflozin,Urinary tract infection,29,C,0.0015375018119812012,0.6347365975379944
canagliflozin,Urinary tract infection,30,F,-0.0005568265914916992,0.6347365975379944
dapagliflozin,Lactic acidosis,0,C,-0.010606586933135986,0.8634099364280701
dapagliflozin,Lactic acidosis,1,C,2.1576881408691406e-05,0.8634099364280701
dapagliflozin,Lactic acidosis,2,O,0.0016655325889587402,0.8634099364280701
dapagliflozin,Lactic acidosis,3,C,0.0032517313957214355,0.8634099364280701
dapagliflozin,Lactic acidosis,4,C,0.00041371583938598633,0.8634099364280701
dapagliflozin,Lactic acidosis,5,C,-7.94529914855957e-05,0.8634099364280701
dapagliflozin,Lactic acidosis,6,C,-0.0012344717979431152,0.8634099364280701
dapagliflozin,Lactic acidosis,7,C,-7.94529914855957e-05,0.8634099364280701
dapagliflozin,Lactic acidosis,8,C,0.00041371583938598633,0.8634099364280701
dapagliflozin,Lactic acidosis,9,C,0.009126663208007812,0.8634099364280701
dapagliflozin,Lactic acidosis,10,C,-0.00655442476272583,0.8634099364280701
dapagliflozin,Lactic acidosis,11,C,-0.006542086601257324,0.8634099364280701
dapagliflozin,Lactic acidosis,12,C,0.0010967254638671875,0.8634099364280701
dapagliflozin,Lactic acidosis,13,C,0.003214120864868164,0.8634099364280701
dapagliflozin,Lactic acidosis,14,C,0.0013731718063354492,0.8634099364280701
dapagliflozin,Lactic acidosis,15,C,0.009125292301177979,0.8634099364280701
dapagliflozin,Lactic acidosis,16,C,0.0005669593811035156,0.8634099364280701
dapagliflozin,Lactic acidosis,17,C,-0.0015892982482910156,0.8634099364280701
dapagliflozin,Lactic acidosis,18,C,-0.002897500991821289,0.8634099364280701
dapagliflozin,Lactic acidosis,19,C,-0.004225015640258789,0.8634099364280701
dapagliflozin,Lactic acidosis,20,C,-0.004128754138946533,0.8634099364280701
dapagliflozin,Lactic acidosis,21,O,0.006784677505493164,0.8634099364280701
dapagliflozin,Lactic acidosis,22,C,-0.003579378128051758,0.8634099364280701
dapagliflozin,Lactic acidosis,23,O,0.003283262252807617,0.8634099364280701
dapagliflozin,Lactic acidosis,24,O,0.0022623538970947266,0.8634099364280701
dapagliflozin,Lactic acidosis,25,O,0.002926766872406006,0.8634099364280701
dapagliflozin,Lactic acidosis,26,O,0.00445634126663208,0.8634099364280701
dapagliflozin,Lactic acidosis,27,Cl,-0.00040280818939208984,0.8634099364280701
dapagliflozin,Nausea,0,C,-0.0045005083084106445,0.9151577949523926
dapagliflozin,Nausea,1,C,0.00019663572311401367,0.9151577949523926
dapagliflozin,Nausea,2,O,0.0007713437080383301,0.9151577949523926
dapagliflozin,Nausea,3,C,0.0013262629508972168,0.9151577949523926
dapagliflozin,Nausea,4,C,0.00022530555725097656,0.9151577949523926
dapagliflozin,Nausea,5,C,4.851818084716797e-05,0.9151577949523926
dapagliflozin,Nausea,6,C,-0.002700209617614746,0.9151577949523926
dapagliflozin,Nausea,7,C,4.851818084716797e-05,0.9151577949523926
dapagliflozin,Nausea,8,C,0.00022530555725097656,0.9151577949523926
dapagliflozin,Nausea,9,C,0.00697249174118042,0.9151577949523926
dapagliflozin,Nausea,10,C,-0.006247878074645996,0.9151577949523926
dapagliflozin,Nausea,11,C,-0.006239175796508789,0.9151577949523926
dapagliflozin,Nausea,12,C,0.0024239420890808105,0.9151577949523926
dapagliflozin,Nausea,13,C,0.0027267932891845703,0.9151577949523926
dapagliflozin,Nausea,14,C,0.0006821155548095703,0.9151577949523926
dapagliflozin,Nausea,15,C,0.016798973083496094,0.9151577949523926
dapagliflozin,Nausea,16,C,0.0006237030029296875,0.9151577949523926
dapagliflozin,Nausea,17,C,-0.0010025501251220703,0.9151577949523926
dapagliflozin,Nausea,18,C,-0.0017208456993103027,0.9151577949523926
dapagliflozin,Nausea,19,C,-0.0030207037925720215,0.9151577949523926
dapagliflozin,Nausea,20,C,-0.002938568592071533,0.9151577949523926
dapagliflozin,Nausea,21,O,0.0073912739753723145,0.9151577949523926
dapagliflozin,Nausea,22,C,-0.0015435218811035156,0.9151577949523926
dapagliflozin,Nausea,23,O,0.0019279122352600098,0.9151577949523926
dapagliflozin,Nausea,24,O,0.003573119640350342,0.9151577949523926
dapagliflozin,Nausea,25,O,0.004244565963745117,0.9151577949523926
dapagliflozin,Nausea,26,O,0.005029797554016113,0.9151577949523926
dapagliflozin,Nausea,27,Cl,-0.0009436607360839844,0.9151577949523926
dapagliflozin,Urinary tract infection,0,C,-0.04433351755142212,0.616567075252533
dapagliflozin,Urinary tract infection,1,C,-0.0028129220008850098,0.616567075252533
dapagliflozin,Urinary tract infection,2,O,0.004242360591888428,0.616567075252533
dapagliflozin,Urinary tract infection,3,C,0.006600618362426758,0.616567075252533
dapagliflozin,Urinary tract infection,4,C,0.0008390545845031738,0.616567075252533
dapagliflozin,Urinary tract infection,5,C,0.0004048943519592285,0.616567075252533
dapagliflozin,Urinary tract infection,6,C,0.009611964225769043,0.616567075252533
